,Subject.Id,Contact.ID,cat,svy_contact,empstatus,jailprison,close,baseline_flag,dup,reinstall_flag1,reinstall_flag2,phonesurvey,Total number of calls,Total duration of calls,Total incoming calls,Total outgoing calls,Total number of missed calls,"Total number of incoming calls, excluding missed",Proportion of incoming calls answered,"0 to 1, =1 perfect reciprocity",Proportion of calls incoming,Duration of incoming calls,Duration of outgoing calls,Total number of night calls,Any night call,Number of incoming calls at night,Number of outgoing calls at night,Any night incoming call,Any night outgoing call,Min days between calls,Max days between calls,Total number of texts,Any night text,Number of texts at night,Min days between texts,Max days between texts
0,1003,a0000022d8b566-1485854260,No phone survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,1.0,17.0,1.0,4.0
1,1003,a0000022d8b566-4428755,No phone survey,,,,,,,0.0,0.0,0.0,35.0,992.0,10.0,25.0,7.0,3.0,0.300000012,0.571428597,0.28571429800000003,95.0,897.0,2.0,1.0,9.0,21.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
2,1003,a0000022d8b566-682408058,Phone survey,Person,Working Formally,0.0,60.0,1.0,0.0,0.0,0.0,1.0,5.0,85.0,3.0,2.0,1.0,2.0,0.666666687,0.7999999520000001,0.600000024,29.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,,,4.0,0.0,0.0,,
3,1003,a0000022d8b5661085053215,No phone survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,
4,1003,a0000022d8b5661306093745,No phone survey,,,,,,,0.0,0.0,0.0,2.0,64.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.0,64.0,2.0,1.0,1.0,1.0,1.0,1.0,,,5.0,1.0,1.0,2.0,3.0
5,1003,a0000022d8b5661374658182,No phone survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,
6,1003,a0000022d8b5662119192337,No phone survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302.0,1.0,128.0,1.0,1.0
7,1003,a0000022d8b5662120103081,No phone survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,
8,1003,a0000022d8b566439263804,No phone survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,1.0,3.0,1.0,1.0
9,1003,a0000022d8b566691081474,No phone survey,,,,,,,0.0,0.0,0.0,2.0,80.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,1.0,1.0,0.0,2.0,0.0,1.0,,,266.0,1.0,54.0,1.0,2.0
10,1003,a0000022d8b566807313275,No phone survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,5.0,,
