Subject.Id,Contact.ID,cat,svy_contact,empstatus,jailprison,close,baseline_flag,dup,reinstall_flag1,reinstall_flag2,phonesurvey,Total number of calls,Total duration of calls,Total incoming calls,Total outgoing calls,Total number of missed calls,"Total number of incoming calls, excluding missed",Proportion of incoming calls answered,"0 to 1, =1 perfect reciprocity",Proportion of calls incoming,Duration of incoming calls,Duration of outgoing calls,Total number of night calls,Any night call,Number of incoming calls at night,Number of outgoing calls at night,Any night incoming call,Any night outgoing call,Min days between calls,Max days between calls,Total number of texts,Any night text,Number of texts at night,Min days between texts,Max days between texts
1003,a0000022d8b566-1485854260,No phone survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,1,17,1,4
1003,a0000022d8b566-4428755,No phone survey,,,,,,,0,0,0,35,992,10,25,7,3,0.300000012,0.571428597,0.285714298,95,897,2,1,9,21,1,1,1,1,1,1,1,,
1003,a0000022d8b566-682408058,Phone survey,Person,Working Formally,0,60,1,0,0,0,1,5,85,3,2,1,2,0.666666687,0.799999952,0.600000024,29,56,0,0,0,0,0,0,,,4,0,0,,
1003,a0000022d8b5661085053215,No phone survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,
1003,a0000022d8b5661306093745,No phone survey,,,,,,,0,0,0,2,64,1,1,1,0,0,1,0.5,0,64,2,1,1,1,1,1,,,5,1,1,2,3
1003,a0000022d8b5661374658182,No phone survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,
1003,a0000022d8b5662119192337,No phone survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,1,128,1,1
1003,a0000022d8b5662120103081,No phone survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,
1003,a0000022d8b566439263804,No phone survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,1,3,1,1
1003,a0000022d8b566691081474,No phone survey,,,,,,,0,0,0,2,80,0,2,0,0,0,0,0,0,80,1,1,0,2,0,1,,,266,1,54,1,2
1003,a0000022d8b566807313275,No phone survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,5,,
1003,a0000022d8b566915869100,No phone survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,3,5,5
1004,a0000022aa5cd6-1018899778,No phone survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,1,5,1,8
1004,a0000022aa5cd6-1043125280,No phone survey,,,,,,,1,1,0,1,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,,,6,0,0,,
1004,a0000022aa5cd6-1264985250,No phone survey,,,,,,,1,1,0,1,65,0,1,0,0,0,0,0,0,65,0,0,0,0,0,0,,,3,0,0,,
1004,a0000022aa5cd6-1718462213,No phone survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,1,4,11
1004,a0000022aa5cd6-1972399328,No phone survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,1,1
1004,a0000022aa5cd6-212065659,Phone survey,Person,Working Formally,0,100,0,0,1,1,1,1,25,0,1,0,0,0,0,0,0,25,0,0,0,0,0,0,,,2,0,0,,
1004,a0000022aa5cd6-446277341,No phone survey,,,,,,,1,1,0,2,96,1,1,0,1,1,1,0.5,60,36,2,1,1,1,1,1,,,1,1,1,,
